Common Name,Scientific Name,Count,Reporting Rate
Grey-headed Albatross,Thalassarche chrysostoma,148,0.01%
Black-browed Albatross,Thalassarche melanophris,2706,0.19%
Campbell Albatross,Thalassarche impavida,114,0.01%
Buller's Albatross,Thalassarche bulleri,396,0.03%
Shy Albatross,Thalassarche cauta,2581,0.18%
White-capped Albatross,Thalassarche steadi,437,0.03%
Chatham Albatross,Thalassarche eremita,2,0.00%
Salvin's Albatross,Thalassarche salvini,35,0.00%
Matsudaira's Storm-Petrel,Hydrobates matsudairae,41,0.00%
Leach's Storm-Petrel,Hydrobates leucorhoa,6,0.00%
Swinhoe's Storm-Petrel,Hydrobates monorhis,9,0.00%
Tristram's Storm-Petrel,Hydrobates tristrami,2,0.00%
Northern Giant-Petrel,Macronectes halli,508,0.03%
Southern Giant-Petrel,Macronectes giganteus,529,0.04%
Southern Fulmar,Fulmarus glacialoides,59,0.00%
Antarctic Petrel,Thalassoica antarctica,10,0.00%
Cape Petrel,Daption capense,684,0.05%
Blue Petrel,Halobaena caerulea,67,0.00%
Broad-billed Prion,Pachyptila vittata,12,0.00%
Salvin's Prion,Pachyptila salvini,9,0.00%
Antarctic Prion,Pachyptila desolata,145,0.01%
Slender-billed Prion,Pachyptila belcheri,128,0.01%
Fairy Prion,Pachyptila turtur,1096,0.08%
Fulmar Prion,Pachyptila crassirostris,4,0.00%
Kerguelen Petrel,Aphrodroma brevirostris,22,0.00%
Gould's Petrel,Pterodroma leucoptera,176,0.01%
Collared Petrel,Pterodroma brevipes,1,0.00%
Cook's Petrel,Pterodroma cookii,20,0.00%
Pycroft's Petrel,Pterodroma pycrofti,2,0.00%
Black-winged Petrel,Pterodroma nigripennis,332,0.02%
Providence Petrel,Pterodroma solandri,751,0.05%
Kermadec Petrel,Pterodroma neglecta,172,0.01%
Herald Petrel,Pterodroma heraldica,15,0.00%
Mottled Petrel,Pterodroma inexpectata,69,0.00%
Barau's Petrel,Pterodroma baraui,3,0.00%
White-necked Petrel,Pterodroma cervicalis,143,0.01%
Soft-plumaged Petrel,Pterodroma mollis,136,0.01%
White-headed Petrel,Pterodroma lessonii,253,0.02%
Great-winged Petrel,Pterodroma macroptera,1070,0.07%
Grey-faced Petrel,Pterodroma gouldi,98,0.01%
Grey Petrel,Procellaria cinerea,52,0.00%
White-chinned Petrel,Procellaria aequinoctialis,255,0.02%
Westland Petrel,Procellaria westlandica,20,0.00%
Black Petrel,Procellaria parkinsoni,111,0.01%
Wedge-tailed Shearwater,Ardenna pacifica,3927,0.27%
Buller's Shearwater,Ardenna bulleri,236,0.02%
Short-tailed Shearwater,Ardenna tenuirostris,4218,0.29%
Sooty Shearwater,Ardenna grisea,743,0.05%
Great Shearwater,Ardenna gravis,22,0.00%
Flesh-footed Shearwater,Ardenna carneipes,1430,0.10%
Pink-footed Shearwater,Ardenna creatopus,1,0.00%
Streaked Shearwater,Calonectris leucomelas,266,0.02%
Fluttering Shearwater,Puffinus gavia,2558,0.18%
Hutton's Shearwater,Puffinus huttoni,958,0.07%
Little Shearwater,Puffinus assimilis,132,0.01%
Tropical Shearwater,Puffinus bailloni,6,0.00%
Tahiti Petrel,Pseudobulweria rostrata,220,0.02%
Bulwer's Petrel,Bulweria bulwerii,70,0.00%
Jouanin's Petrel,Bulweria fallax,2,0.00%
South Georgian Diving-Petrel,Pelecanoides georgicus,4,0.00%
Common Diving-Petrel,Pelecanoides urinatrix,296,0.02%
Black-necked Stork,Ephippiorhynchus asiaticus,10007,0.69%
Australian Pelican,Pelecanus conspicillatus,137947,9.45%
Australasian Bittern,Botaurus poiciloptilus,2289,0.16%
Australian Little Bittern,Ixobrychus dubius,945,0.06%
Yellow Bittern,Ixobrychus sinensis,69,0.00%
Schrenck's Bittern,Ixobrychus eurhythmus,2,0.00%
Cinnamon Bittern,Ixobrychus cinnamomeus,1,0.00%
Black Bittern,Ixobrychus flavicollis,1595,0.11%
Malayan Night-Heron,Gorsachius melanolophus,6,0.00%
Nankeen Night-Heron,Nycticorax caledonicus,20349,1.39%
Striated Heron,Butorides striata,13404,0.92%
Chinese Pond Heron,Ardeola bacchus,2,0.00%
Javan Pond Heron,Ardeola speciosa,2,0.00%
Cattle Egret,Bubulcus ibis,41057,2.81%
Grey Heron,Ardea cinerea,1,0.00%
White-necked Heron,Ardea pacifica,40154,2.75%
Great-billed Heron,Ardea sumatrana,684,0.05%
Great Egret,Ardea alba,103708,7.11%
Intermediate Egret,Ardea intermedia,32516,2.23%
Pied Heron,Egretta picata,3088,0.21%
White-faced Heron,Egretta novaehollandiae,210437,14.42%
Little Egret,Egretta garzetta,43826,3.00%
Western Reef Egret,Egretta gularis,4,0.00%
Eastern Reef Egret,Egretta sacra,9153,0.63%
Australian White Ibis,Threskiornis moluccus,168395,11.54%
Straw-necked Ibis,Threskiornis spinicollis,94389,6.47%
Yellow-billed Spoonbill,Platalea flavipes,35469,2.43%
Royal Spoonbill,Platalea regia,58590,4.02%
Glossy Ibis,Plegadis falcinellus,12428,0.85%
Lesser Frigatebird,Fregata ariel,1244,0.09%
Great Frigatebird,Fregata minor,666,0.05%
Christmas Island Frigatebird,Fregata andrewsi,126,0.01%
Abbott's Booby,Papasula abbotti,57,0.00%
Cape Gannet,Morus capensis,23,0.00%
Australasian Gannet,Morus serrator,14754,1.01%
Red-footed Booby,Sula sula,267,0.02%
Brown Booby,Sula leucogaster,1939,0.13%
Masked Booby,Sula dactylatra,564,0.04%
Little Pied Cormorant,Microcarbo melanoleucos,172531,11.83%
Imperial Shag,Phalacrocorax atriceps,9,0.00%
Great Cormorant,Phalacrocorax carbo,70689,4.84%
Little Black Cormorant,Phalacrocorax sulcirostris,123731,8.48%
Black-faced Cormorant,Phalacrocorax fuscescens,8007,0.55%
Pied Cormorant,Phalacrocorax varius,59601,4.09%
Australasian Darter,Anhinga novaehollandiae,67782,4.65%
Osprey,Pandion haliaetus,24543,1.68%
Black-shouldered Kite,Elanus axillaris,50157,3.44%
Letter-winged Kite,Elanus scriptus,132,0.01%
Oriental Honey-buzzard,Pernis ptilorynchus,49,0.00%
Black-breasted Buzzard,Hamirostra melanosternon,2911,0.20%
Square-tailed Kite,Lophoictinia isura,4285,0.29%
Pacific Baza,Aviceda subcristata,7833,0.54%
Gurney's Eagle,Aquila gurneyi,3,0.00%
Wedge-tailed Eagle,Aquila audax,63072,4.32%
Little Eagle,Hieraaetus morphnoides,16135,1.11%
Swamp Harrier,Circus approximans,38708,2.65%
Spotted Harrier,Circus assimilis,9027,0.62%
Grey Goshawk,Accipiter novaehollandiae,8179,0.56%
Chinese Goshawk,Accipiter soloensis,1,0.00%
Brown Goshawk,Accipiter fasciatus,38212,2.62%
Japanese Sparrowhawk,Accipiter gularis,1,0.00%
Collared Sparrowhawk,Accipiter cirrocephalus,18865,1.29%
Red Goshawk,Erythrotriorchis radiatus,164,0.01%
White-bellied Sea-Eagle,Haliaeetus leucogaster,43982,3.01%
Whistling Kite,Haliastur sphenurus,107358,7.36%
Brahminy Kite,Haliastur indus,22199,1.52%
Black Kite,Milvus migrans,54663,3.75%
Eastern Grass Owl,Tyto longimembris,264,0.02%
Greater Sooty Owl,Tyto tenebricosa,711,0.05%
Lesser Sooty Owl,Tyto multipunctata,492,0.03%
Masked Owl,Tyto novaehollandiae,901,0.06%
Barn Owl,Tyto alba,5336,0.37%
Rufous Owl,Ninox rufa,414,0.03%
Powerful Owl,Ninox strenua,6697,0.46%
Barking Owl,Ninox connivens,3901,0.27%
Southern Boobook,Ninox boobook,26552,1.82%
Tasmanian Boobook,Ninox leucopsis,925,0.06%
New Zealand Boobook,Ninox novaeseelandiae,6,0.00%
Northern Boobook,Ninox japonica,1,0.00%
Christmas Island Hawk-Owl,Ninox natalis,27,0.00%
Oriental Scops-owl,Otus sunia,2,0.00%
Eurasian Hoopoe,Upupa epops,9,0.00%
Rainbow Bee-eater,Merops ornatus,83961,5.75%
Dollarbird,Eurystomus orientalis,32723,2.24%
Little Kingfisher,Ceyx pusillus,935,0.06%
Azure Kingfisher,Ceyx azureus,14358,0.98%
Common Kingfisher,Alcedo atthis,1,0.00%
Yellow-billed Kingfisher,Syma torotoro,600,0.04%
Forest Kingfisher,Todiramphus macleayii,20865,1.43%
Collared Kingfisher,Todiramphus chloris,4407,0.30%
Sacred Kingfisher,Todiramphus sanctus,70226,4.81%
